"","GEOID","medianhhincome_2019","aian_2019","asian_2019","hhlivingalone_2019","black_2019","blackmedianincome_2019","blackpoverty_2019","familyhouseholds_2019","fouryeardegree_2019","graddegree_2019","hsgrad_2019","latino_2019","latinopoverty_2019","lessthanhs_2019","medianage_2019","grossrent_2019","medianyearbuilt_2019","monthlyhousingcost_2019","multipleraces_2019","nonfamilyhouseholds_2019","numberofhousingunits_2019","over25population_2019","poverty_2019","totalpopulation_2019","vacantunits_2019","white_2019","white25andolder_2019","whitemedianincome_2019","whitepoverty_2019","renters_2019","occupiedunits_2019","vacancyrate_2019","pctwhite_2019","pctblack_2019","pctlatino_2019","pctwhitepoverty_2019","pctblackpoverty_2019","pctlatinopoverty_2019","pctpoverty_2019","pctlessthanhs_2019","pcthsgrad_2019","pctfouryeardegree_2019","pctgraddegree_2019","pctrenters_2019"
"70",39049005500,25106,17,13,799,3479,21607,1435,894,225,166,1160,188,188,415,30.3,768,1944,750,8,909,2380,2728,1693,4303,577,553,375,NA,200,1060,4303,24.2436974789916,12.851498954218,80.8505693702068,4.36904485242854,36.1663652802893,41.2474849094567,100,39.3446432721357,15.2126099706745,42.5219941348974,8.24780058651026,6.08504398826979,24.6339762956077
"71",39049005610,31575,14,20,237,1107,26618,434,407,118,57,278,16,16,298,31.7,853,0,837,11,310,975,1054,604,1765,258,525,426,42232,118,437,1765,26.4615384615385,29.7450424929178,62.7195467422096,0.906515580736544,22.4761904761905,39.2050587172538,100,34.2209631728045,28.2732447817837,26.3757115749526,11.1954459203036,5.40796963946869,24.7592067988669
"72",39049005620,37990,0,72,339,880,37667,325,482,230,42,482,28,28,296,34.7,883,0,853,0,444,1209,1458,636,2205,283,1198,954,40417,294,611,2193,23.4077750206782,54.3310657596372,39.9092970521542,1.26984126984127,24.5409015025042,36.9318181818182,100,28.843537414966,20.3017832647462,33.0589849108368,15.7750342935528,2.88065843621399,27.8613771089831
"73",39049005700,107109,0,0,1028,136,NA,12,884,1309,1131,396,95,95,150,35.7,1336,0,1520,0,1313,2383,3355,192,3676,186,3405,3084,110318,167,1126,3676,7.8052874527906,92.6278563656148,3.69967355821545,2.58433079434168,4.90455212922173,8.82352941176471,100,5.22306855277476,4.47093889716841,11.8032786885246,39.0163934426229,33.7108792846498,30.6311207834603
"74",39049005810,86667,0,60,606,103,NA,40,557,720,769,342,71,71,66,31.5,1170,0,1271,0,943,1525,2438,297,2944,25,2698,2232,89412,253,688,2924,1.63934426229508,91.6440217391304,3.49864130434783,2.4116847826087,9.37731653076353,38.8349514563107,100,10.0883152173913,2.70713699753897,14.0278917145201,29.532403609516,31.5422477440525,23.5294117647059
"75",39049005820,72058,0,28,313,72,NA,0,395,570,229,433,82,82,84,35.8,1004,0,1051,0,670,1221,1935,252,2252,156,2067,1768,76050,237,570,2252,12.7764127764128,91.785079928952,3.19715808170515,3.64120781527531,11.4658925979681,0,100,11.190053285968,4.34108527131783,22.3772609819121,29.4573643410853,11.8346253229974,25.3108348134991
"76",39049005900,30906,0,4,302,1876,23333,992,592,118,42,721,56,56,291,30.1,840,1945,811,76,374,1217,1541,1289,2847,251,566,439,38077,212,575,2842,20.6244864420707,19.8805760449596,65.89392342817,1.9669827889006,37.4558303886926,52.8784648187633,100,45.2757288373727,18.8838416612589,46.7878001297859,7.65736534717716,2.7255029201817,20.2322308233638
"77",39049006000,32558,0,0,195,480,21815,298,435,127,49,471,32,32,428,30.8,870,0,873,16,321,912,1440,888,2216,156,1614,1122,35337,521,538,2216,17.1052631578947,72.8339350180505,21.6606498194946,1.44404332129964,32.2800495662949,62.0833333333333,100,40.072202166065,29.7222222222222,32.7083333333333,8.81944444444444,3.40277777777778,24.2779783393502
"78",39049006100,25100,0,46,257,502,14417,314,413,216,29,591,227,227,506,37.1,769,1940,764,17,465,1229,1598,1240,2345,351,1488,1092,33971,723,684,2255,28.559804719284,63.454157782516,21.407249466951,9.68017057569296,48.5887096774194,62.5498007968127,100,52.8784648187633,31.6645807259074,36.9837296620776,13.5168961201502,1.81476846057572,30.3325942350333
"79",39049006220,90976,0,1022,1442,272,NA,102,1972,2466,1600,495,156,156,343,39.4,1180,1986,1345,0,1788,4022,6081,422,8166,262,6797,5097,97959,159,1689,8099,6.51417205370462,83.235366152339,3.33088415380847,1.91036002939015,2.33926732381933,37.5,100,5.16776879745285,5.64051965137313,8.14010853478046,40.5525407005427,26.3114619306035,20.854426472404
