"","GEOID","totalpopulation_2000","popdensity_2000","proportion25to34_2000","aged25to34_2000","pctwhite_2000","pctblack_2000","white_2000","black_2000","aian_2000","asian_2000","multipleraces_2000","households_2000","familyhouseholds_2000","nonfamilyhouseholds_2000","hhlivingalone_2000","numberofhousingunits_2000","vacancyrate_2000","vacantunits_2000","pctpoverty_2000","poverty_2000","over25population_2000","lessthanhs_2000","hsgrad_2000","fouryeardegree_2000","graddegree_2000","pctgraddegree_2000","occupiedunits_2000","renters_2000","pctrenters_2000","medianincome_2000","latino_2000","pctlatino_2000","whitemedianhhincome_2000","blackmedianhhincome_2000","White.Alone.Population.for.Whom.Poverty.Status.is.Determined","whitepoverty_2000","Black.or.African.American.Alone.Population.for.Whom.Poverty.Status.is.Determined","blackpoverty_2000","whitepctpoverty_2000","blackpctpoverty_2000"
"35",39049002200,1404,5204.448771,0.289173789,406,67.59259259,26.06837607,949,366,7,15,61,773,218,555,438,1115,30.67264574,342,30.41310541,427,1000,263,240,219,93,9.3,773,577,74.64424321,40255.96556,32,2.279202279,61239.71235,20423.9042,987,245,290,129,24.82269504,"44.48275862"
"36",39049002300,1806,1817.837052,0.120708749,218,8.139534884,87.54152824,147,1581,2,14,62,652,429,223,153,802,18.7032419,150,25.63676633,463,933,357,366,13,18,1.92926045,652,346,53.06748466,33312.96596,23,1.273532669,24153.92655,41639.27068,160,59,1594,404,36.875,"25.34504391"
"37",39049002510,2978,1562.59431,0.109133647,325,14.27132304,81.90060443,425,2439,13,16,85,1282,772,510,447,1413,9.271054494,131,16.62189389,495,2014,541,596,116,47,2.33366435,1282,371,28.93915757,38801.09718,31,1.040967092,56543.36622,55676.23722,377,101,2429,360,26.79045093,"14.82091396"
"38",39049002520,3170,5227.332,0.120820189,383,12.23974763,83.4384858,388,2645,10,10,116,1497,710,787,691,1632,8.272058824,135,26.7192429,847,2153,453,559,223,71,3.297724106,1497,847,56.57982632,35159.16723,36,1.135646688,92234.3995,46936.01238,356,73,2413,705,20.50561798,"29.21674264"
"39",39049002600,4261.146,3080.253426,0.128335804,546.8576,36.3329724,58.62143658,1548.201,2497.945,12,26,170,1821.660535,997.813842,823.8466934,722.7700401,2087.660535,12.74153511,266,27.55957956,1174.353922,2795.572932,969.6933868,1032.879545,93,157,5.616022326,1821.660535,1032.671486,56.68846999,29420.31043,120,2.816143826,32061.00869,41021.59909,1479.244417,511.3539222,2370,635,34.56858895,"26.79324895"
"40",39049002710,4242,12931.52736,0.190947666,810,27.74634606,59.21735031,1177,2512,12,19,520,1868,1036,832,671,2205,15.28344671,337,44.67232438,1895,2270,701,688,189,145,6.387665198,1868,1850,99.03640257,24069.84467,452,10.65535125,21506.73383,29091.9985,1151,520,2395,1040,45.17810599,"43.42379958"
"41",39049002730,2269,6200.059263,0.194358748,441,39.57690613,52.44601146,898,1190,6,29,145,1031,526,505,394,1117,7.69919427,86,12.38431027,281,1319,198,443,142,49,3.714935557,1031,790,76.62463628,33579.7619,96,4.23093874,47659.04028,52639.40808,1048,116,1092,141,11.06870229,"12.91208791"
"42",39049002740,2308,4242.51298,0.098353553,227,80.02599653,17.33102253,1847,400,1,20,40,1013,654,359,318,1087,6.807727691,74,7.105719237,164,1753,157,412,438,271,15.45921278,1013,102,10.06910168,70021.94175,37,1.603119584,88006.66581,77266.22126,1735,124,471,40,7.146974063,"8.492569002"
"43",39049002750,2707,7251.274221,0.154045068,417,42.59327669,49.50129294,1153,1340,13,43,158,1082,709,373,350,1169,7.44225834,87,23.90099741,647,1733,402,670,143,51,2.94287363,1082,553,51.1090573,34082.62411,205,7.572958995,57226.28222,43179.44655,1288,228,1215,351,17.70186335,"28.88888889"
"44",39049002760,3273,6543.064449,0.183623587,601,66.20837152,28.53651085,2167,934,13,37,121,1677,779,898,698,1790,6.312849162,113,13.35166514,437,2258,346,612,567,197,8.724534987,1677,873,52.05724508,39319.81595,47,1.435991445,66265.22369,44814.27576,2071,186,969,238,8.981168518,"24.56140351"
"45",39049002770,2071,5734.019011,0.148237566,307,44.66441333,49.29985514,925,1021,11,29,84,946,513,433,388,1024,7.6171875,78,11.63689039,241,1289,308,451,112,27,2.094647013,946,446,47.14587738,33800.31881,46,2.221149203,57472.89959,47257.06239,907,126,1058,108,13.89195149,"10.20793951"
"46",39049002780,2439,3686.014303,0.084460845,206,63.67363674,32.92332923,1553,803,2,26,55,1078,623,455,411,1113,3.144654088,35,4.26404264,104,1969,116,417,433,414,21.02590147,1078,294,27.27272727,64099.81635,13,0.53300533,80286.95305,107707.5194,1411,79,719,25,5.598866052,"3.47705146"
"47",39049002800,3350,7602.620119,0.133731343,448,6.358208955,87.31343284,213,2925,9,7,195,1449,743,706,606,1785,18.82352941,336,35.10447761,1176,1949,639,654,100,58,2.975885069,1449,998,68.87508627,29876.86464,27,0.805970149,63333.80277,27148.01609,200,22,2968,1086,11,"36.5902965"
"48",39049002900,2949,9231.889597,0.100712106,297,3.933536792,89.69142082,116,2645,21,44,114,1198,596,602,581,1367,12.36283833,169,54.12004069,1596,1430,592,481,46,0,0,1198,1076,89.8163606,15767.10635,27,0.915564598,11695.61122,18378.39316,114,63,2636,1394,55.26315789,"52.8831563"
"49",39049003000,2179,1374.412191,0.215695273,470,43.96512162,51.81275815,958,1129,7,24,60,897,218,679,522,1003,10.56829511,106,36.1633777,788,1477,430,345,213,137,9.275558565,897,769,85.73021182,30183.90411,44,2.019274897,65682.16345,26376.56502,757,251,994,453,33.15719947,"45.57344064"
"50",39049003200,1824,3115.70517,0.285087719,520,79.98903509,11.95175439,1459,218,2,61,83,950,152,798,532,995,4.522613065,45,16.61184211,303,1372,160,151,443,279,20.33527697,950,876,92.21052632,34973.8193,83,4.550438596,55599.43943,39341.12214,1231,216,170,45,17.54670999,"26.47058824"
"51",39049003600,1726,6480.79934,0.10428737,180,9.55967555,85.05214368,165,1468,4,6,83,857,322,535,510,1127,23.95740905,270,40.67207416,702,1131,419,297,135,49,4.33244916,857,638,74.44574096,22518.0602,34,1.969872538,27778.11787,23654.82375,210,88,1450,528,41.9047619,"36.4137931"
"52",39049003700,4151,5141.536481,0.144302578,599,16.42977596,78.46302096,682,3257,24,18,168,1758,860,898,807,2142,17.92717087,384,33.36545411,1385,2532,671,665,376,132,5.213270142,1758,1171,66.60978385,35327.77156,52,1.25271019,53770.79864,32140.40696,588,108,3097,1148,18.36734694,"37.06813045"
"53",39049003800,2093,7447.883089,0.185379838,388,33.06258958,63.06736742,692,1320,4,19,57,1079,346,733,622,1313,17.82178218,234,25.46583851,533,1582,286,360,343,149,9.418457649,1079,753,69.78683967,39020.17467,37,1.76779742,81154.57779,36580.14499,757,94,1349,408,12.41743725,"30.24462565"
"54",39049004000,2195,2527.973752,0.199088838,437,69.70387244,23.09794989,1530,507,7,64,87,1731,127,1604,1352,1895,8.654353562,164,27.60820046,606,1640,326,353,329,193,11.76829268,1731,1592,91.96995956,26111.68428,55,2.505694761,28917.62966,32978.00719,1433,418,431,155,29.16957432,"35.96287703"
"55",39049004200,1432,3173.472601,0.138268156,198,42.45810056,50.55865922,608,724,8,16,75,561,244,317,280,742,24.393531,181,56.63407821,811,825,403,228,39,0,0,561,512,91.26559715,13750.76628,23,1.606145251,20773.56573,14489.41063,575,320,744,456,55.65217391,"61.29032258"
"56",39049004300,4229,2162.514729,0.271458974,1148,81.95790967,9.411208323,3466,398,25,192,148,2046,787,1259,890,2530,19.13043478,484,23.93000709,1012,2670,744,431,562,479,17.94007491,2046,1482,72.4340176,41622.56978,91,2.151808938,64570.19586,19004.49792,3492,724,348,163,20.73310424,"46.83908046"
"57",39049004500,5631,5752.956581,0.162315752,914,85.40223761,9.234594211,4809,520,32,65,204,1948,1265,683,517,2125,8.329411765,177,15.45018647,870,3295,1101,1284,132,38,1.153262519,1948,887,45.5338809,36456.91598,82,1.456224472,57184.20424,55035.51058,4608,814,251,24,17.66493056,"9.561752988"
"58",39049004610,3543,6166.459905,0.147050522,521,93.42365227,4.205475586,3310,149,5,19,59,1558,945,613,493,1626,4.18204182,68,4.205475586,149,2536,377,780,375,162,6.388012618,1558,275,17.6508344,49820.16645,48,1.354784081,81396.95834,36462.92874,3320,135,137,14,4.06626506,"10.2189781"
"59",39049004620,2960,10362.73874,0.163513514,484,79.29054054,13.24324324,2347,392,21,72,128,990,704,286,214,1122,11.76470588,132,16.48648649,488,1655,595,671,42,46,2.779456193,990,484,48.88888889,37258.75128,78,2.635135135,57011.35748,65409.03946,2396,388,279,13,16.19365609,"4.659498208"
"60",39049004700,5512,10754.90197,0.15511611,855,57.94629898,33.76269956,3194,1861,27,84,345,1894,1278,616,456,2199,13.86994088,305,23.22206096,1280,3158,1081,1032,271,29,0.918302723,1894,865,45.67053854,34363.69393,153,2.775761974,55467.14226,44232.41167,3205,722,1746,349,22.52730109,"19.98854525"
"61",39049004810,2899,9504.188206,0.156605726,454,88.40979648,5.519144533,2563,160,6,91,79,1186,739,447,350,1235,3.967611336,49,15.17764746,440,1933,458,855,147,77,3.983445422,1186,370,31.19730185,43741.02349,28,0.965850293,61037.52805,46138.94676,2556,362,211,66,14.1627543,"31.27962085"
"62",39049004820,2795,8554.583008,0.159570662,446,75.42039356,18.60465116,2108,520,5,50,110,1049,694,355,282,1152,8.940972222,103,20.07155635,561,1740,701,662,90,0,0,1049,416,39.65681602,35794.51277,40,1.431127013,48055.72558,49887.86574,2130,419,455,94,19.6713615,"20.65934066"
"63",39049004900,6074,6460.775228,0.149489628,908,72.78564373,20.25024695,4421,1230,38,116,268,2395,1497,898,758,2648,9.554380665,253,20.71122819,1258,3798,1426,1464,120,89,2.343338599,2395,1107,46.22129436,34106.20633,153,2.518933158,55029.97732,46676.03683,4343,855,1287,302,19.68685241,"23.46542347"
