GEOID,whitemedianhhincome_2000,blackmedianhhincome_2000,White Alone Population for Whom Poverty Status is Determined,whitepoverty_2000,Black or African American Alone Population for Whom Poverty Status is Determined,blackpoverty_2000,whitepctpoverty_2000,blackpctpoverty_2000
39049008132,86029.57118,77826.32077,5744,330,472,80,5.745125348,16.94915254
39049008141,93816.13978,126155.9428,4140,113,96,0,2.729468599,0
39049008142,107302.0505,88203.46893,3264,65,267,0,1.991421569,0
39049008161,69533.91708,71694.4394,4546,514,292,18,11.3066432,6.164383562
39049008162,84073.92564,71954.70002,7145,265,346,40,3.708887334,11.56069364
39049008163,70007.88813,59723.27163,2487.973027,232.3462158,281.9025765,39.40136876,9.33877551,13.97694524
39049008164,70007.88813,59723.27163,3637.026973,339.6537842,412.0974235,57.59863124,9.33877551,13.97694524
39049008210,50426.08552,53477.31715,1724,173,251,6,10.03480278,2.390438247
39049008230,59737.30112,42636.02149,2391,581,665,156,24.29945629,23.45864662
39049008241,61900.73699,20994.65842,1981,390,180,144,19.68702675,80
39049008242,94230.68264,57068.63222,4885,260,354,109,5.322415558,30.79096045
39049008311,56397.40441,33117.68123,3369,487,430,171,14.45532799,39.76744186
39049008312,61139.97123,37731.09128,3646,543,463,143,14.89303346,30.88552916
39049008321,71743.31732,39865.9283,2026,137,117,11,6.762092794,9.401709402
39049008322,56482.22702,62540.75028,3960,369,304,38,9.318181818,12.5
39049008330,59585.99602,1.764104661,1732,133,9,0,7.678983834,0
39049008340,67696.90581,41885.92702,4084,523,513,183,12.80607248,35.67251462
39049008350,57266.39329,24159.70051,3852,644,1062,601,16.71858775,56.5913371
39049008360,90165.73706,104150.388,5148,336,316,34,6.526806527,10.75949367
39049008370,95445.11546,90624.641,5265.613792,113.8619067,189.7698446,10.98667521,2.162367223,5.789473684
39049008380,88582.61989,104113.832,3259,143,188,16,4.387849033,8.510638298
39049008400,100845.0771,88777.43515,2999.770322,71.95386843,62.63972589,0.084764182,2.39864592,0.135320167
39049008500,83532.67371,45277.16503,4108.464741,226.9657488,70.20550705,24.04298187,5.524344569,34.24657534
39049008710,40500.62383,70793.01744,473,81,2162,147,17.12473573,6.799259944
39049008720,39807.88379,52787.53771,1685,315,1657,314,18.69436202,18.94990947
39049008730,37299.65757,48576.93612,446,93,1106,228,20.85201794,20.61482821
39049008811,59159.91192,48131.49597,1567.300196,350.5065007,238.9135858,45.6913109,22.36371192,19.12461811
39049008812,58493.59648,72699.62664,871,108,2124,275,12.39954076,12.9472693
39049008813,64486.69635,59596.20671,253.4710537,26.94377343,2072.674719,293.3877551,10.62992126,14.1550313
39049008821,55674.57676,0,2500,271,10,0,10.84,0
39049008822,51724.58308,51075.75363,2895,322,811,204,11.12262522,25.1541307
39049008825,84973.9497,77242.6655,5791.22875,335.5497258,438.4116954,58.920934,5.794102431,13.43963554
39049008900,100141.7978,62155.91437,3650.000747,255.0000612,171.0105879,17.00334774,6.986301617,9.942862572
39049009000,183008.1974,41874.2034,3070,101,103,22,3.28990228,21.3592233
39049009100,138962.9373,38717.66334,4520,68,183,38,1.504424779,20.76502732
39049009210,50063.77503,44689.70509,2476,363,1321,370,14.66074313,28.00908403
39049009220,62511.34623,30012.77627,2056.502152,251.2525108,271.2123386,83.68436155,12.2174689,30.85566165
39049009230,59464.68354,46802.64395,3643.444763,483.1855571,789.2166428,199.1013869,13.26177803,25.2277228
39049009240,67927.67173,71838.65842,1921,182,48,0,9.474232171,0
39049009250,65918.86385,88205.23303,1653.097166,125.7145749,150.4615385,8.908906883,7.604790419,5.921052632
39049009311,80679.96233,67784.10484,1740.160126,96.07104382,882.3429304,19.02342526,5.520816295,2.156012657
39049009312,63679.98165,58548.72372,1803,218,1262,159,12.09095951,12.59904913
39049009321,62817.33421,110359.9176,1261.58851,95.75474586,626.8017879,52.22791552,7.590014106,8.332445205
39049009322,68455.82728,77788.41226,2103.099602,57.20958061,1101.489257,197.1207252,2.720250651,17.8958373
39049009323,56460.53177,53454.06873,1230,149,2205,302,12.11382114,13.69614512
39049009325,56232.97258,46578.99765,1345,155,2091,458,11.52416357,21.9033955
39049009326,48766.81508,40521.63396,838,132,729,122,15.75178998,16.73525377
39049009331,38139.85535,43071.37077,284,73,1038,196,25.70422535,18.88246628
39049009332,70383.43734,86343.45571,456,26,2191,98,5.701754386,4.47284345
39049009333,48392.03903,59970.2776,592,84,1359,165,14.18918919,12.14128035
39049009334,58761.79453,77410.96536,600,60,2237,247,10,11.04157354
39049009336,68979.70949,62504.65419,1341,154,858,95,11.48396719,11.07226107
39049009337,61191.07089,62445.63846,1003,135,2736,496,13.45962114,18.12865497
39049009340,58468.97274,61954.49501,2096.267807,334.8830307,519.8184358,123.9567039,15.97520267,23.84615385
39049009350,75277.80079,58052.26324,1588.723006,79.10551343,885.5093162,171.0347909,4.979188514,19.31484941
39049009361,101267.8143,79629.24917,3027.62122,184.9939184,893.2424444,60.90581302,6.110206822,6.818508614
39049009362,101879.708,113423.4532,5397.495647,151.8295244,850.905309,10.03597081,2.812962424,1.179446256
39049009371,64581.25435,61551.62767,3154,277,1646,197,8.782498415,11.96840826
39049009372,88203.46893,88029.39234,2603,57,1644,58,2.189781022,3.527980535
39049009373,84804.89727,76708.02482,2548.000084,187.0000033,883.0000251,153.0000021,7.339089371,17.32729306
39049009374,91833.43575,83401.76617,4892.999916,192.9999967,1467.999975,122.9999979,3.944410382,8.378746594
39049009381,67230.60723,40288.08308,4408,346,939,264,7.849364791,28.11501597
39049009382,77604.58189,94833.69787,2794,77,151,0,2.755905512,0
39049009383,67956.46806,48704.47293,2093,150,184,53,7.166746297,28.80434783
39049009384,71589.85285,110040.1314,2297,85,224,0,3.700478886,0
39049009385,95345.37066,127221.6251,2947,86,246,24,2.918221921,9.756097561
39049009386,68237.18953,70206.52127,2094,236,564,80,11.27029608,14.18439716
39049009390,104356.7489,126365.8568,3816,107,211,0,2.803983229,0
39049009410,80953.12528,83172.75356,2338,117,498,67,5.00427716,13.45381526
39049009420,85980.36916,65503.06178,5306.886402,250.1818667,505.745935,68.09406504,4.714287206,13.46408549
39049009430,81021.82447,78842.99005,3949.965067,245.8111324,989.2399232,124.9040307,6.22312168,12.62626263
39049009440,71302.47936,154358.2758,3183,152,10,0,4.775369149,0
39049009450,102130.3779,146194.6995,5202.994041,198.9997721,338.9996118,34.99995992,3.82471651,10.32448378
39049009495,82235.69015,62795.61083,3218.528667,164.5815826,543.6784803,111.851561,5.113565843,20.57310801
39049009497,92337.88365,1.764104661,1645.806358,129.9320809,26.3261079,0,7.894736842,0
39049009520,80431.53351,39691.47281,3003,213,50,23,7.092907093,46
39049009590,72048.88901,0,4208,174,0,0,4.134980989,#DIV/0!
39049009600,71688.51701,46740.59216,3532,321,534,137,9.088335221,25.65543071
39049009711,72797.66061,44359.58004,4370,216,52,0,4.942791762,0
39049009712,76824.67274,0,2431,93,0,0,3.825586179,#DIV/0!
39049009720,87861.60639,47460.26419,6230.386208,258.1380933,141.2301554,66.01332479,4.143211747,46.74166405
39049009740,130545.1518,193528.1722,7743,138,36,0,1.78225494,0
39049009751,130922.4753,198460.8923,2638,81,41,14,3.070507961,34.14634146
39049009752,115322.7803,120339.4288,3744,80,160,9,2.136752137,5.625
39049009800,98248.31507,56485.59795,6661,297,89,28,4.458789971,31.46067416
39049009900,51810.97606,57674.86554,1117,193,136,6,17.27842435,4.411764706
39049010000,101700.8662,78916.70527,4609.191304,235.6695652,282.773913,16.40869565,5.113035013,5.802761463
39049010100,53116.5495,38928.37789,30.94759448,6.748291392,411.2203973,133.8870995,21.8055442,32.55847726
39049010200,82283.26912,62822.58593,4873.166286,250.1525249,817.8885546,168.1503834,5.133264703,20.55908258
39049010300,77422.8957,68715.12367,2457.653179,300.3410405,395.1213873,59,12.22064378,14.93212008
39049010400,164242.8183,163437.0336,4693.145658,118.4289776,88.84215131,0,2.523445601,0
39049010500,158068.1225,160981.5845,6812.587918,173.2556611,133.8809817,0,2.543169544,0
39049010601,126520.2995,106778.7262,1789.187759,53.57753307,20.37455483,4.024603423,2.994517081,19.75308642
39049010602,126520.2995,106778.7262,5323.812241,159.4224669,60.62544517,11.97539658,2.994517081,19.75308642
39049010700,48212.45447,33004.97428,1113,147,107,25,13.20754717,23.36448598
39049980000,12828.56909,0,0.755582513,0.646077801,0,0,85.50724638,#DIV/0!
