GEOID,pctwhite_2000,pctblack_2000,white_2000,black_2000,aian_2000,asian_2000,multipleraces_2000,households_2000,familyhouseholds_2000,nonfamilyhouseholds_2000,hhlivingalone_2000,numberofhousingunits_2000,vacancyrate_2000,vacantunits_2000,pctpoverty_2000,poverty_2000
39049006710,93.40942563,3.313696613,2537,90,3,45,41,1221,727,494,432,1277,4.385277995,56,3.166421208,86
39049006721,94.751693,0.931151242,3358,33,2,104,47,1281,1055,226,212,1308,2.064220183,27,0.59255079,21
39049006722,92.13058419,2.920962199,2681,85,2,101,41,1176,786,390,352,1206,2.487562189,30,3.23024055,94
39049006810,96.04863222,0.607902736,2212,14,8,28,40,969,657,312,280,984,1.524390244,15,3.213200174,74
39049006821,80.89855891,10.85052275,2863,384,13,154,121,1964,737,1227,1087,2095,6.252983294,131,14.38259395,509
39049006822,95.26598341,2.440214739,1952,50,3,21,23,953,570,383,343,971,1.853759011,18,2.098584675,43
39049006910,95.01011463,0.337154417,1409,5,1,42,26,636,461,175,157,657,3.196347032,21,3.506405934,52
39049006921,75.09559011,10.17078766,2946,399,6,164,405,1739,924,815,603,1858,6.404736276,119,11.54728524,453
39049006923,79.24133811,13.76941458,2653,461,4,63,161,1408,969,439,381,1474,4.47761194,66,4.838709677,162
39049006924,71.53110048,19.40457204,2691,730,7,177,156,1802,928,874,698,1878,4.04685836,76,9.223817119,347
39049006931,65.05102041,25.37414966,3825,1492,19,177,357,2519,1344,1175,898,2647,4.835663015,128,11.2244898,660
39049006932,61.60041124,30.12337217,3595,1758,10,229,242,2238,1600,638,486,2310,3.116883117,72,4.866346813,284
39049006933,37.04437401,51.90174326,1870,2620,10,86,461,2299,1168,1131,903,2486,7.522123894,187,12.91600634,652
39049006942,71.51260504,17.31092437,851,206,2,27,104,525,314,211,182,560,6.25,35,9.579831933,114
39049006943,78.51333032,15.27338455,3475,676,6,109,160,1776,1245,531,450,1833,3.109656301,57,6.778129236,300
39049006944,84.58470202,11.21539183,3605,478,4,61,114,1828,1219,609,486,1874,2.454642476,46,3.167526983,135
39049006945,63.3518225,29.21949287,3198,1475,11,99,264,2459,1092,1367,1046,2670,7.902621723,211,10.69730586,540
39049006950,95.90469099,0.744601638,2576,20,1,68,21,1237,870,367,322,1271,2.675059009,34,1.824274013,49
39049006990,84.97632692,9.828301556,5740.631,663.9573,8.999421,172.9889,163.98941,2820.818558,1730.888665,1089.929893,849.9453296,2932.811355,3.818615773,111.992797,5.239787218,353.9772313
39049007010,89.36681806,6.572268234,3345,246,13,34,102,1115,734,381,313,1148,2.87456446,33,8.522575474,319
39049007020,95.23525019,1.926811053,6376,129,6,66,117,2589,1886,703,592,2634,1.708428246,45,2.703510082,181
39049007041,84.65189813,5.423118693,1761.606,112.8551,2.964669,136.9677,65.81565,897.3064868,494.7044354,402.6020515,292.5140089,963.1221389,6.833572757,65.8156521,4.473359293,93.09060689
39049007043,84.65189873,5.423116335,2808.75,179.939,4.726945,218.3848,104.93817,1430.688574,788.7694938,641.9190806,466.3918701,1535.626745,6.833572764,104.938171,4.473359293,148.4260614
39049007044,84.65191033,5.423116959,4342.643,278.2059,7.308386,337.6474,162.24615,2212.004939,1219.526071,992.4788679,721.094121,2374.251116,6.833572738,162.246177,4.473359293,229.4833317
39049007047,84.09225863,7.659724558,2900.342,264.1839,7.304624,182.6156,94.5543,1495.01306,856.2642664,638.748794,468.713378,1561.160489,4.237067839,66.147429,2.812095541,96.9891752
39049007048,84.09223762,7.659724752,4246.658,386.8161,10.69538,267.3844,138.4457,2188.98694,1253.735734,935.251206,686.286622,2285.839511,4.237067849,96.852571,2.812095541,142.0108248
39049007112,73.08080808,19.97474747,2894,791,3,137,135,1480,1066,414,355,1584,6.565656566,104,4.015151515,159
39049007113,72.81934686,20.02301707,3163.078,869.7464,2.999125,150.956,156.95428,1704.502945,1112.675529,591.8274154,472.8621073,1788.478456,4.695360501,83.975511,6.697353757,290.9151653
39049007114,76.29149472,17.02635883,3031.824,676.6275,15.00369,99.68391,148.71719,1856.038709,964.0248956,892.013813,683.8649213,2005.615644,7.457906277,149.576935,8.474830211,336.7897526
39049007115,75.21682874,18.16575709,3790.176,915.3725,16.99631,79.31609,232.28281,2368.961291,1209.975104,1158.986187,912.1350787,2613.384356,9.352740803,244.423065,6.890459366,347.2102474
39049007120,91.0935281,5.538648813,4490,273,10,48,108,1754,1359,395,298,1806,2.879291251,52,3.733008724,184
39049007132,85.81661891,8.500477555,5391,534,26,174,156,2819,1589,1230,968,3115,9.502407705,296,1.957975167,123
39049007193,96.14732624,1.710587147,6239,111,8,73,58,2284,1902,382,334,2338,2.309666382,54,1.725997843,112
39049007194,92.92431706,4.000597104,6225,268,7,107,90,2550,1841,709,610,2628,2.96803653,78,2.701895805,181
39049007198,88.35905425,6.577840909,2410.435,179.4435,3.443478,82.64348,52.03478,1225.495652,688.6956522,536.8,415.8956522,1285.565217,4.672619032,60.069565,4.165497896,113.6347826
39049007199,76.31589327,17.07386135,4121.262,922.0341,17.17691,153.9922,185.16528,2349.796808,1317.789888,1032.006919,828.404418,2456.058247,4.326503214,106.261439,3.299960318,178.206668
39049007201,92.72087848,2.728338214,633.2836,18.63455,1.091868,21.76457,8.225408,246.3982735,188.7476287,57.65064478,48.33336886,273.3310242,9.853528621,26.9327507,2.632420335,17.97943089
39049007202,76.31670984,17.07317034,2356.66,527.2195,9.823966,88.05184,105.88053,1343.700247,753.5345823,590.1656651,473.7334747,1404.463297,4.326424915,60.76305,3.299163426,101.8781666
39049007203,92.72087735,2.728338254,1295.077,38.10801,2.232891,44.50896,16.821117,503.8891041,385.9924511,117.896653,98.84264849,558.9670859,9.853528623,55.0779818,2.632420047,36.76827436
39049007205,92.72089694,2.728338645,201.7463,5.936442,0.3478384,6.933579,2.620383,78.49553011,60.12966309,18.36586701,15.39764608,87.07554374,9.853528628,8.58001363,2.63242043,5.72773883
39049007207,92.72089467,2.728339047,1103.527,32.4716,1.902633,37.92582,14.333168,429.3608188,328.901803,100.4590158,84.22321527,476.2924297,9.853528625,46.9316109,2.632420964,31.33002134
39049007209,92.72088781,2.728338028,734.2785,21.60635,1.265997,25.23555,9.53718,285.6934044,218.8487438,66.84466065,56.04148317,316.9213393,9.853528629,31.2279349,2.632420497,20.84675654
39049007210,92.72088007,2.728337576,4732.088,139.243,8.158772,162.6315,61.46275,1841.162869,1410.37971,430.7831587,361.1616381,2042.412577,9.853528629,201.249708,2.632420237,134.347778
39049007393,90.05318275,4.911168965,6139.826,334.8435,5.400702,256.1476,81.78205,2397.13998,1974.342198,422.7977821,359.5324205,2449.603938,2.141732269,52.463958,2.082154577,141.9612991
39049007394,90.05319465,4.911168895,1818.174,99.1565,1.599298,75.85244,24.217949,709.8600204,584.6578024,125.2022179,106.4675795,725.396062,2.141732278,15.5360416,2.082154577,42.03870092
39049007395,78.30363887,16.70705547,3980.957,849.3867,19.56778,94.21525,139.87337,2164.051889,1415.402994,748.6488952,568.190449,2394.516892,9.624697315,230.465003,8.139700639,413.8223805
39049007396,78.30362506,16.70705852,1512.043,322.6133,7.432217,35.78475,53.12659,821.9481112,537.5970064,284.3511048,215.809551,909.4831076,9.624697333,87.5349964,8.139700642,157.1776194
39049007424,88.42209686,6.962525356,4478.955,352.6815,18.98286,92.91608,119.89172,2000.193506,1323.804394,676.3891128,562.4919801,2104.099663,4.938271643,103.906157,10.23668662,518.5316833
39049007425,88.34773227,7.474953241,2628.641,222.4049,17.02171,53.11156,54.15268,1115.991195,812.9946592,302.9965357,244.8232285,1161.121104,3.88675297,45.129909,4.858602799,144.5597096
39049007426,93.99535409,3.153519526,2800.491,93.95574,4.995063,29.99416,47.959513,1277.847501,862.2307847,415.6167165,339.6836438,1316.81543,2.959255193,38.967929,3.319672257,98.90608283
39049007427,80.87248322,12.25631192,5061,767,12,262,154,2178,1689,489,397,2260,3.628318584,82,3.020134228,189
39049007492,84.59837807,9.16524474,5140.914,556.9579,4.000373,259.9782,111.99609,2276.967797,1615.970162,660.997635,510.0011476,2375.963803,4.166562044,98.996006,2.089941121,127.0025243
39049007494,82.19538766,12.97475291,3742.356,590.7405,18.99166,100.9557,99.95609,1544.321625,1236.456861,307.864764,256.887157,1569.310648,1.592356684,24.989023,3.732162459,169.9253568
39049007511,17.85283474,78.28709288,296,1298,5,2,57,630,429,201,243,725,13.10344828,95,25.03015682,415
39049007512,6.787687986,90.81818835,257.9914,3451.884,6.999765,7.999732,70.99762,1382.953639,1019.965808,362.9878316,229.99229,1446.951494,4.422944049,63.997855,16.12733314,612.9794511
39049007520,29.46990428,65.07936746,983.9892,2172.976,9.99989,6.999923,159.99828,1130.987533,871.9903879,258.997145,213.9976411,1231.98642,8.198051972,100.998887,29.05061565,969.9893077
39049007531,47.05658944,40.29624003,1239,1061,15,39,277,1166,597,569,398,1259,7.386814932,93,21.91416635,577
39049007532,25.30066815,65.21158129,568,1464,7,35,167,899,578,321,204,952,5.567226891,53,18.88641425,424
39049007533,19.88095238,74.22619048,334,1247,6,13,80,652,452,200,226,740,11.89189189,88,9.880952381,166
39049007534,22.72215973,56.74915636,808,2018,4,90,636,1244,903,341,283,1379,9.789702683,135,31.1023622,1106
39049007550,25.1303529,69.08870972,526.0195,1446.14,5.000345,28.00035,87.00414,657.0588276,477.0438043,180.0150234,151.0100689,683.0620863,3.806866055,26.0032587,18.01250361,377.0312412
39049007551,5.763238434,87.69469158,194.3364,2957.065,8.753894,5.252336,193.46104,1242.17757,929.6635514,312.5140187,288.0031153,1422.507788,12.67692307,180.330218,33.87850467,1142.383178
39049007710,64.96203662,28.18222421,2909,1262,13,95,199,1848,1143,705,574,1947,5.084745763,99,16.3465833,732
39049007721,40.60263026,46.61228567,2439,2800,19,124,619,2548,1345,1203,933,2738,6.939371804,190,17.17995672,1032
39049007722,76.18198037,17.18703539,2562,578,10,101,109,1561,824,737,627,1744,10.49311927,183,11.1210229,374
39049007730,75.13190292,16.10974323,2136,458,4,158,86,1293,759,534,503,1324,2.341389728,31,7.140344706,203
39049007740,94.80597015,3.343283582,1588,56,0,14,17,894,453,441,344,937,4.589114194,43,5.552238806,93
39049007811,90.84013625,2.697386886,3200.298,95.02894,2.969654,154.422,70.28182,1796.64091,896.835628,899.8052824,735.4844057,1864.942962,3.662420427,68.302052,3.933689239,138.5838719
39049007812,89.75598527,2.509208103,3899,109,3,268,65,1933,670,1263,792,2017,4.164600892,84,16.82780847,731
39049007820,44.25531915,9.38534279,1872,397,13,1634,314,2129,710,1419,892,2217,3.969327921,88,39.19621749,1658
39049007830,83.57870895,2.831257078,2214,75,10,253,96,1734,383,1351,1046,1803,3.826955075,69,13.59003398,360
39049007921,93.70730698,2.028565514,4527,98,15,87,103,1644,1315,329,254,1698,3.180212014,54,1.221279238,59
39049007922,92.41618497,1.063583815,3997,46,3,156,122,1502,1104,398,310,1533,2.022178735,31,0.971098266,42
39049007931,94.39364774,1.323387873,3923,55,7,90,81,1543,1158,385,301,1642,6.029232643,99,4.716073147,196
39049007933,92.59994705,2.065131056,6995,156,16,247,135,2739,2089,650,527,2785,1.651705566,46,1.469420175,111
39049007941,91.21932515,2.645705521,2379,69,2,98,59,1087,701,386,347,1191,8.732157851,104,1.495398773,39
39049007951,93.20310409,1.886540005,6966,141,7,260,100,2536,2040,496,361,2601,2.499038831,65,0.789403265,59
39049007952,92.7499668,0.783428496,6985,59,16,361,109,3059,2050,1009,829,3166,3.379658876,107,2.350285487,177
39049007953,86.80125188,5.623887498,5200.263,336.9271,13.72101,227.6671,210.89705,2530.256086,1543.867843,986.3882433,672.3295445,2739.120366,7.625231903,208.86428,6.998049028,419.2531173
39049007954,86.80125905,5.623885823,5032.737,326.0729,13.27899,220.3329,204.10295,2448.743914,1494.132157,954.6117567,650.6704555,2650.879634,7.62523192,202.13572,6.99804903,405.7468827
39049008000,95.34728406,1.157613535,4283,52,12,38,106,1487,1300,187,143,1527,2.61951539,40,0.756901158,34
39049008110,87.48332592,5.42463317,3935,244,17,29,273,1972,1166,806,690,2060,4.27184466,88,13.3837261,602
39049008120,93.29787234,2.765957447,3508,104,15,23,109,1502,1009,493,386,1577,4.755865568,75,13.56382979,510
39049008132,87.83866058,7.549467275,5771,496,34,72,190,2581,1738,843,638,2723,5.214836577,142,7.092846271,466
39049008141,90.67311923,3.321601408,4122,151,8,143,121,1803,1260,543,377,2286,21.12860892,483,2.991641003,136
39049008142,86.00941423,5.439330544,3289,208,10,149,167,1582,1002,580,435,1670,5.269461078,88,2.222803347,85
39049008161,88.65054602,6.669266771,4546,342,18,88,134,2112,1368,744,527,2383,11.37221989,271,11.524961,591
39049008162,90.27355623,4.483282675,7128,354,17,71,323,2976,2108,868,682,3113,4.400899454,137,4.002026342,316
39049008163,83.93719855,9.299517674,2540.779,281.4964,12.99839,31.27738,160.04267,1240.127617,744.9702093,495.1574074,381.0152979,1305.525765,5.009334151,65.398148,9.675254964,292.8699678
39049008164,83.93719774,9.299516384,3714.221,411.5036,19.00161,45.72262,233.9574,1812.872383,1089.029791,723.8425926,556.9847021,1908.474235,5.009334171,95.601852,9.675254966,428.1300322
39049008210,78.90660592,12.5284738,1732,275,6,65,110,1037,518,519,451,1087,4.599816007,50,8.974943052,197
39049008230,57.2327044,17.58676916,2457,755,29,36,1003,1434,835,599,382,1769,18.93725269,335,26.48497554,1137
39049008241,86.61518662,7.55040755,2019,176,15,43,77,1094,615,479,358,1155,5.281385281,61,25.3968254,592
39049008242,81.90745672,5.675765646,4921,341,15,474,255,2462,1599,863,680,2591,4.978772675,129,6.824234354,410
39049008311,85.84692597,9.084065245,3421,362,12,58,127,1739,1077,662,551,1836,5.283224401,97,17.61606023,702
39049008312,81.71312033,9.17743032,3606,405,25,165,210,1818,1120,698,569,2005,9.326683292,187,17.76569227,784
39049008321,91.3884007,3.822495606,2080,87,17,43,47,1007,639,368,361,1042,3.358925144,35,6.502636204,148
