"","GEOID","medianhhincome_2010","aian_2010","asian_2010","hhlivingalone_2010","black_2010","blackmedianincome_2010","blackpoverty_2010","familyhouseholds_2010","fouryeardegree_2010","graddegree_2010","hsgrad_2010","latino_2010","latinopoverty_2010","lessthanhs_2010","medianage_2010","grossrent_2010","monthlyhousingcost_2010","multipleraces_2010","nonfamilyhouseholds_2010","numberofhousingunits_2010","over25population_2010","poverty_2010","totalpopulation_2010","vacantunits_2010","white_2010","white25andolder_2010","whitemedianincome_2010","whitepoverty_2010","renters_2010","occupiedunits_2010","vacancyrate_2010","pctwhite_2010","pctblack_2010","pctlatino_2010","pctwhitepoverty_2010","pctblackpoverty_2010","pctlatinopoverty_2010","pctpoverty_2010","pctlessthanhs_2010","pcthsgrad_2010","pctfouryeardegree_2010","pctgraddegree_2010","pctrenters_2010"
"100",39049006395,50011,0,506,808,156,51631,0,623,924,502,408,102,102,76,30.7,909,1098,0,1214,2254,2491,459,3638,417,2815,1930,54107,203,690,3638,18.5004436557232,77.3776800439802,4.28807036833425,2.80373831775701,7.2113676731794,0,100,12.6168224299065,3.05098354074669,16.378964271377,37.093536732236,20.1525491770373,18.9664650907092
"101",39049006396,52714,0,620,832,231,65625,68,1150,1065,622,540,324,324,234,37.9,749,911,0,960,2221,3463,700,4698,111,3569,2715,54679,310,937,4551,4.997748761819,75.968497232865,4.91698595146871,6.89655172413793,8.68590641636313,29.4372294372294,100,14.8999574286931,6.75714698238521,15.5934161131967,30.7536817788045,17.9613052266821,20.5888815644913
"102",39049006410,71190,0,106,404,37,12375,10,720,850,543,179,140,140,49,44.5,994,1518,42,476,1285,1931,309,2741,89,2479,1744,70238,257,270,2741,6.92607003891051,90.4414447282014,1.34987230937614,5.10762495439621,10.3670835014119,27.027027027027,100,11.2732579350602,2.53754531330917,9.26980838943552,44.018643190057,28.1201450025893,9.85041955490697
"103",39049006430,82464,0,281,388,108,NA,100,1247,1371,814,209,70,70,30,37.4,1063,1376,0,494,1926,3002,351,4664,185,4158,2772,85882,251,530,4664,9.60539979231568,89.1509433962264,2.3156089193825,1.5008576329331,6.03655603655604,92.5925925925926,100,7.52572898799314,0.999333777481679,6.9620253164557,45.6695536309127,27.1152564956696,11.3636363636364
"104",39049006500,127826,0,62,295,12,NA,0,963,945,932,119,0,0,20,38.6,613,2163,0,295,1415,2219,75,3539,157,3386,2115,133056,75,186,3539,11.095406360424,95.676744843176,0.33907883582933,0,2.21500295333727,0,NA,2.11924272393331,0.901306894997747,5.36277602523659,42.5867507886435,42.000901306895,5.25572195535462
"105",39049006600,90931,0,43,591,80,NA,0,946,1083,1085,239,8,8,30,40.2,872,1756,0,663,1920,2777,173,3865,311,3691,2642,83750,173,487,3709,16.1979166666667,95.4980595084088,2.06985769728331,0.206985769728331,4.68707667298835,0,100,4.47606727037516,1.08030248469571,8.60640979474253,38.9989196975153,39.0709398631617,13.1302237799946
"106",39049006710,75517,0,77,343,20,NA,7,819,759,568,140,44,44,19,35.7,771,1264,0,397,1245,2037,128,2986,29,2835,1937,76293,121,355,2986,2.32931726907631,94.9430676490288,0.669792364367046,1.4735432016075,4.26807760141094,35,100,4.2866711319491,0.932744231713304,6.87285223367698,37.260677466863,27.8841433480609,11.8888144675151
"107",39049006721,107014,0,105,185,0,NA,0,1039,790,859,196,15,15,39,45.5,NA,1561,0,193,1260,2262,0,3260,28,3086,2172,105972,0,36,3260,2.22222222222222,94.6625766871166,0,0.460122699386503,0,NA,100,0,1.72413793103448,8.66489832007073,34.9248452696729,37.9752431476569,1.10429447852761
"108",39049006722,63438,0,51,338,237,29535,0,783,616,300,347,61,61,129,45.5,738,989,0,394,1209,1954,172,2661,32,2352,1727,62188,172,418,2585,2.64681555004136,88.3878241262683,8.90642615558061,2.2923712889891,7.31292517006803,0,100,6.46373543780534,6.60184237461617,17.7584442169908,31.525076765609,15.353121801433,16.1702127659574
"109",39049006810,72216,0,0,231,0,NA,0,583,606,416,107,86,86,24,36.1,1125,1352,0,312,951,1537,48,2188,56,2082,1500,72273,48,131,2188,5.88853838065195,95.1553930530165,0,3.93053016453382,2.30547550432277,NA,100,2.19378427787934,1.56148340923878,6.96161353285621,39.4274560832791,27.0657124268055,5.9872029250457
"110",39049006821,32329,24,155,846,327,30685,50,494,586,261,463,30,30,226,45.3,617,711,0,959,1976,2043,439,2461,523,1897,1661,36866,345,928,2461,26.4676113360324,77.0824867939862,13.2872815928484,1.21901665989435,18.1866104375329,15.2905198776758,100,17.8382771231207,11.062163485071,22.6627508565835,28.6833088595203,12.7753303964758,37.7082486793986
"111",39049006822,64009,0,27,431,61,NA,13,465,536,245,210,28,28,108,45.5,724,989,10,505,992,1516,55,1808,22,1710,1443,63514,42,143,1808,2.21774193548387,94.5796460176991,3.37389380530973,1.54867256637168,2.45614035087719,21.3114754098361,100,3.04203539823009,7.12401055408971,13.8522427440633,35.3562005277045,16.1609498680739,7.90929203539823
"112",39049006910,89722,0,71,112,0,NA,0,462,414,381,118,2,2,9,46.1,735,1530,0,144,639,1123,35,1512,33,1436,1093,89167,35,36,1512,5.16431924882629,94.973544973545,0,0.132275132275132,2.43732590529248,NA,100,2.31481481481481,0.801424755120214,10.5075690115761,36.8655387355298,33.926981300089,2.38095238095238
"113",39049006921,41429,0,42,350,822,26250,308,869,539,186,677,607,607,363,31.4,699,820,11,593,1852,2460,888,3806,390,2826,1996,48980,580,650,3729,21.0583153347732,74.2511823436679,21.5974776668418,15.9485023646873,20.5237084217976,37.4695863746959,100,23.3315817130846,14.7560975609756,27.520325203252,21.9105691056911,7.5609756097561,17.4309466344865
"114",39049006923,45615,0,10,353,984,52011,244,937,330,135,939,222,222,227,40.5,700,777,0,382,1492,2372,558,3410,173,2239,1726,42778,298,349,3410,11.5951742627346,65.6598240469208,28.8563049853372,6.51026392961877,13.3095131755248,24.7967479674797,100,16.3636363636364,9.56998313659359,39.5868465430017,13.9123102866779,5.69139966273187,10.2346041055718
"115",39049006924,35469,0,0,719,1263,36125,105,811,356,112,965,205,205,179,37.5,574,585,46,759,1897,2372,634,3499,327,2142,1580,35446,439,802,3499,17.2377438060095,61.2174907116319,36.0960274364104,5.85881680480137,20.4948646125117,8.31353919239905,100,18.1194627036296,7.54637436762226,40.6829679595278,15.008431703204,4.72175379426644,22.9208345241498
"116",39049006931,33355,0,134,623,3417,31297,1631,1523,588,252,1467,425,425,532,34.8,702,777,44,763,2705,4373,2203,6961,419,2968,2161,37292,456,1253,6399,15.4898336414048,42.6375520758512,49.0877747450079,6.10544462002586,15.3638814016173,47.7319285923325,100,31.6477517598046,12.1655613994969,33.5467642350789,13.4461468099703,5.76263434713012,19.5811845600875
"117",39049006932,49738,0,349,444,1904,51450,266,1555,901,281,941,334,334,230,37.5,722,1073,0,533,2409,3658,751,5391,321,2909,2079,55141,384,458,5391,13.3250311332503,53.9603042107216,35.3181227972547,6.19551103691337,13.200412512891,13.9705882352941,100,13.930625115934,6.28758884636413,25.7244395844724,24.6309458720612,7.68179332968835,8.49564088295307
