"","X","GEOID","aian_2021","asian_2021","hhlivingalone_2021","black_2021","blackmedianincome_2021","blackpoverty_2021","familyhouseholds_2021","fouryeardegree_2021","graddegree_2021","hsgrad_2021","latino_2021","latinopoverty_2021","lessthanhs_2021","medianage_2021","grossrent_2021","medianyearbuilt_2021","monthlyhousingcost_2021","multipleraces_2021","nonfamilyhouseholds_2021","numberofhousingunits_2021","over25population_2021","poverty_2021","totalpopulation_2021","vacantunits_2021","whitemalebach_2021","whitemalehs_2021","whitemalelessthanhs_2021","white_2021","white25andolder_2021","whitemedianincome_2021","whitepoverty_2021","whitefemalebach_2021","whitefemalehs_2021","whitefemalelessthanhs_2021","renters_2021","occupiedunits_2021","vacancyrate_2021","pctwhite_2021","pctblack_2021","pctlatino_2021","pctwhitepoverty_2021","pctblackpoverty_2021","pctlatinopoverty_2021","pctpoverty_2021","medianagehousing_2021","pctlessthanhs_2021","whitepctlessthanhs_2021","pcthsgrad_2021","whitepcthsgrad_2021","pctfouryeardegree_2021","whitepctbachabove_2021","pctgraddegree_2021","pctrenters_2021"
"11",11,390490002104,0,62,226,0,NA,NA,277,NA,NA,NA,21,NA,NA,37.8,916,1944,NA,15,286,598,NA,NA,1185,35,NA,NA,NA,1108,NA,NA,NA,NA,NA,NA,318,1185,0.0585284280936455,93.5021097046413,0,1.77215189873418,NA,NA,NA,NA,77,NA,NA,NA,NA,NA,NA,NA,26.8354430379747
"12",12,390490002201,0,0,123,5,NA,NA,247,NA,NA,NA,41,NA,NA,34.4,1536,1943,NA,6,154,475,NA,NA,877,74,NA,NA,NA,853,NA,NA,NA,NA,NA,NA,139,877,0.155789473684211,97.2633979475485,0.570125427594071,4.67502850627138,NA,NA,NA,NA,78,NA,NA,NA,NA,NA,NA,NA,15.8494868871152
"13",13,390490002202,0,65,20,0,NA,NA,259,NA,NA,NA,7,NA,NA,41.7,NA,0,NA,0,28,314,NA,NA,687,27,NA,NA,NA,599,NA,NA,NA,NA,NA,NA,21,687,0.0859872611464968,87.1906841339156,0,1.01892285298399,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,3.05676855895197
"14",14,390490002203,0,8,117,0,NA,NA,349,NA,NA,NA,53,NA,NA,52.1,1607,0,NA,38,132,481,NA,NA,1048,0,NA,NA,NA,989,NA,NA,NA,NA,NA,NA,59,1048,0,94.3702290076336,0,5.05725190839695,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,5.62977099236641
"15",15,390490002204,0,12,125,0,NA,NA,475,NA,NA,NA,59,NA,NA,54.3,870,0,NA,1,170,653,NA,NA,1445,8,NA,NA,NA,1282,NA,NA,NA,NA,NA,NA,78,1445,0.0122511485451761,88.719723183391,0,4.08304498269896,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,5.39792387543253
"16",16,390490003101,0,42,237,433,NA,NA,438,NA,NA,NA,184,NA,NA,28.3,918,1961,NA,10,285,834,NA,NA,1704,111,NA,NA,NA,1069,NA,NA,NA,NA,NA,NA,1016,1704,0.133093525179856,62.7347417840376,25.4107981220657,10.7981220657277,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,59.6244131455399
"17",17,390490003102,0,163,197,186,NA,NA,307,NA,NA,NA,17,NA,NA,39.5,848,1958,NA,0,275,582,NA,NA,1393,0,NA,NA,NA,994,NA,NA,NA,NA,NA,NA,212,1382,0,71.356783919598,13.3524766690596,1.22038765254846,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,NA,15.3400868306802
"18",18,390490003201,0,0,373,129,NA,NA,250,NA,NA,NA,15,NA,NA,31.3,1096,1957,NA,7,450,700,NA,NA,1240,0,NA,NA,NA,865,NA,NA,NA,NA,NA,NA,312,1240,0,69.758064516129,10.4032258064516,1.20967741935484,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,25.1612903225806
"19",19,390490003202,0,0,143,197,NA,NA,432,NA,NA,NA,65,NA,NA,37.4,1193,1955,NA,118,175,630,NA,NA,1770,23,NA,NA,NA,1190,NA,NA,NA,NA,NA,NA,570,1770,0.0365079365079365,67.2316384180791,11.1299435028249,3.67231638418079,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,32.2033898305085
"20",20,390490003301,0,0,99,77,NA,NA,104,NA,NA,NA,9,NA,NA,37.5,856,1962,NA,0,129,245,NA,NA,457,12,NA,NA,NA,371,NA,NA,NA,NA,NA,NA,283,457,0.0489795918367347,81.1816192560175,16.8490153172867,1.96936542669584,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,61.925601750547
