"","aian_2021","asian_2021","hhlivingalone_2021","black_2021","latino_2021","multipleraces_2021","nonfamilyhouseholds_2021","numberofhousingunits_2021","totalpopulation_2021","vacantunits_2021","white_2021","renters_2021","occupiedunits_2021","GEOID"
"222",0,227,415,371,10425,58,629,1865,5269,114,4221,1112,4174,39049008900
"223",0,110,254,177,289,6,286,1423,3659,114,3228,546,3659,39049009000
"224",0,6,358.0028223,315.0302127,48122,62,385.0039901,1861.010554,4892.05875,80.0022498,4363.024729,468.0148691,4892.027688,39049009100
"225",0,380,1251,2789,87106,0,1502,2843,4860,262,1060,4604,4839,39049009210
"226",0,25,341,685,115880,24,440,1019,2521,62,1376,1291,2513,39049009220
"227",0,43,681,1668,308878,101,813,2129,4643,212,2239,3097,4632,39049009230
"228",6,24,161,389,2340,4,191,817,2205,18,1662,889,2205,39049009240
"229",0,0,187,390,73139,152,240,868,2532,74,1375,551,2532,39049009250
"230",0,0,403,1586,35529,19,486,1294,3001,10,1157,1313,3001,39049009311
"231",0,24,500,2002,79201,84,629,1511,3438,97,938,2322,3438,39049009312
"232",0,124,218,1599,16613,33,286,985,3197,60,1047,1068,3197,39049009321
"233",7,146,516,2053,97045,0,642,1608,3660,120,1118,1388,3646,39049009322
"234",0,0,748,3059,12390,1,833,1655,3858,46,552,3066,3851,39049009323
"235",53,40,998,2636,427585,0,1103,2336,4954,210,1475,4241,4834,39049009325
"236",0,0,487,1798,109561,36,635,1155,2347,66,345,2347,2347,39049009326
"237",0,0,305,839,3136,0,330,723,1062,167,149,793,1062,39049009331
"238",0,0,467,2725,53935,61,557,1654,3785,46,680,1518,3770,39049009332
"239",0,69,492,1935,20449,19,542,1134,2401,86,196,1517,2401,39049009333
"240",0,35,343,2390,29861,8,428,1190,3069,26,448,1276,3060,39049009334
"241",0,70,551,858,19544,25,840,1611,2068,397,937,1736,2068,39049009336
"242",0,0,504,3574,6290,0,622,1785,4397,67,606,2925,4397,39049009337
"243",0,0,666,1533,42425,49,695,1447,3217,60,1342,2322,3217,39049009340
"244",0,0,458,2179,138384,53,546,1487,3479,119,990,1928,3472,39049009350
"245",0,0,1386,2849,9886,50,1449,2922,5231,0,1996,2378,5181,39049009361
"246",0,93,1090,1959,5561,10,1231,3194,6750,112,4044,948,6750,39049009362
"247",0,96,986,4533,21580,44,1134,3011,6514,198,1497,4805,6347,39049009371
"248",0,96,402,2695,417379,91,454,1913,4754,171,1291,2071,4746,39049009372
"249",0,45,435.0112864,4077.124567,54375,141.0038394,540.0300171,2285.152566,6687.436626,87.01130976,1953.308006,2161.063242,6678.491561,39049009373
"250",0,333,1022,4254,151842,18,1226,3757,8746,137,2864,4652,8746,39049009374
"251",0,418,822,2987,102994,0,1071,2592,6901,90,3074,4588,6901,39049009381
"252",0,71,825,520,0,46,899,1638,3002,63,2241,1430,3002,39049009382
"253",0,0,447,700,76576,102,612,1234,2875,24,1896,1495,2855,39049009383
"254",0,126,403,416,43397,0,512,1164,2548,98,1559,1395,2540,39049009384
"255",0,147,598,1039,3721,0,736,1714,3530,74,2229,1219,3524,39049009385
"256",0,317,381,1445,21361,35,448,1225,2867,103,700,2260,2867,39049009386
"257",0,715,538,1800,288554,135,569,2631,6880,71,3458,779,6880,39049009390
"258",0,0,262.9887136,1407.875433,1024,17.99616059,378.9699829,1203.847434,3454.563374,48.98869024,2026.691994,1038.936758,3454.508439,39049009410
"259",50,251,674,1590,27697,50,829,2311,5997,96,3641,2542,5997,39049009420
"260",0,38,742,3851,173610,0,1024,3640,9167,50,4831,4219,9167,39049009430
"261",0,68,510,726,90549,63,551,1784,4620,34,3313,1569,4614,39049009440
"262",0,454,674,1577,34745,62,746,3603,9951,0,7463,1891,9779,39049009450
"263",0,102,424,1271,3464,0,521,1931,4842,82,3451,1741,4830,39049009495
"264",0,23,182,77,196,0,247,800,1713,69,1597,136,1708,39049009497
"265",0,103,523,460,11357,16,651,1965,4842,41,4031,1383,4842,39049009520
"266",0,269,468,421,1721,11,535,2186,5308,123,4506,1297,5308,39049009590
"267",0,48,561,867,23489,109,802,2130,4398,121,3197,2218,4398,39049009600
"268",0,0,554,237,10609,11,659,1946,4747,88,4234,2104,4596,39049009711
"269",0,0,374,76,0,15,390,1246,3094,6,2991,1238,3087,39049009712
"270",0,94,1087,642,9125,0,1305,3340,7016,141,6165,2691,6978,39049009720
"271",0,820,1619,342,15673,0,1684,7091,16391,449,14852,2552,16387,39049009740
"272",0,101,367,123,5444,3,435,2602,6137,183,5529,734,6070,39049009751
"273",0,121,527,394,16356,114,658,2637,6748,45,5723,962,6748,39049009752
"274",0,0,564,41,109023,39,641,2713,7279,14,6856,502,7270,39049009800
"275",0,0,533,1061,158765,153,619,1084,1974,90,667,1966,1966,39049009900
"276",0,313,1012,516,9670,0,1229,2710,5884,112,4718,2538,5874,39049010000
"277",0,42,331,620,9801,36,411,752,1290,84,477,649,1256,39049010100
"278",0,867,3854,9602,99058,79,4439,9368,19012,473,7730,11364,18934,39049010200
"279",0,23,169,355,16641,59,222,993,2484,130,1838,2123,2484,39049010300
"280",0,1859,346,103,141977,62,383,2763,8294,115,5667,1330,8227,39049010400
"281",0,1610,740,40,36377,181,793,3478,8812,146,6500,2310,8762,39049010500
"282",24,748,194,81,33601,95,436,2005,6008,0,4707,872,6008,39049010601
"283",0,393,664,377,172536,386,698,2374,5939,93,4706,1234,5841,39049010602
"284",0,13,365,87,11025,0,507,813,1283,64,1002,969,1278,39049010700
"285",0,0,0,0,293764,0,0,0,0,0,0,0,0,39049980000
"286",0,0.197207275,0.036045176,0.078493672,128605,0.140994165,0.045863767,0.535468904,1.530830378,0.011610291,1.020567815,0.211131271,1.914655871,39089755600
"287",0,0.20240528,0.035674981,0.157827927,11325,0,0.062818989,0.354297656,0.951385136,0.018829268,0.550188956,0.051492284,0.918630766,39089755900
