"","GEOID","blackpoverty_2021","fouryeardegree_2021","graddegree_2021","hsgrad_2021","latinopoverty_2021","lessthanhs_2021","over25population_2021","poverty_2021","white25andolder_2021","whitepoverty_2021","pctlessthanhs_2021","pcthsgrad_2021","pctfouryeardegree_2021","pctgraddegree_2021"
"156",39049007212,0,1661,643,485,390,137,3397,104,2741,85,4.03297026788343,14.277303503091,48.8960847806888,18.9284662937886
"157",39049007213,0,1282,1263,543,433,62,3658,211,2678,211,1.69491525423729,14.8441771459814,35.0464734827775,34.5270639693822
"158",39049007214,0,896,704,402,169,6,2583,96,1719,96,0.232288037166086,15.5632984901278,34.6883468834688,27.2551296941541
"159",39049007215,0,2037,822,495,297,0,4347,76,3215,49,0,11.3871635610766,46.8599033816425,18.9095928226363
"160",39049007301,28,1268,218,1142,723,120,3890,262,2161,137,3.08483290488432,29.3573264781491,32.5964010282776,5.60411311053985
"161",39049007302,0,852,485,450,111,190,3185,175,2007,48,5.96546310832025,14.1287284144427,26.7503924646782,15.2276295133438
"162",39049007303,491,1289,671,1244,519,244,4525,491,3259,0,5.39226519337017,27.4917127071823,28.4861878453039,14.828729281768
"163",39049007305,67,1271,668,876,116,74,3806,430,3131,255,1.94429847609038,23.0162900683132,33.3946400420389,17.5512348922754
"164",39049007306,0,1415,833,414,150,28,3141,20,2582,20,0.891435848455906,13.1805157593123,45.049347341611,26.5202164915632
"165",39049007394,0,789,727,391,99,49,2341,21,1898,11,2.09312259718069,16.702263989748,33.7035454933789,31.0551046561299
"166",39049007397,0,721,407,669,33,47,2273,113,1241,113,2.06775186977563,29.4324681038275,31.7201935767708,17.9058512978443
"167",39049007398,956,1391,572,805,133,1047,5395,1069,2879,113,19.4068582020389,14.9212233549583,25.7831325301205,10.6024096385542
"168",39049007424,215,890,433,1223,329,329,4060,697,2795,210,8.10344827586207,30.1231527093596,21.9211822660099,10.6650246305419
"169",39049007425,62,403,224,604,73,114,2014,139,1678,62,5.66037735849057,29.9900695134062,20.0099304865938,11.1221449851043
"170",39049007426,0,895,630,463,108,84,2706,185,2414,144,3.10421286031042,17.110125646711,33.0746489283075,23.2815964523282
"171",39049007427,64,1274,666,479,183,35,4092,343,3212,263,0.855327468230694,11.7057673509286,31.1339198435973,16.2756598240469
"172",39049007492,0,1495,1235,753,39,178,4245,213,3205,213,4.19316843345112,17.7385159010601,35.2179034157833,29.093050647821
"173",39049007494,191,973,300,676,10,182,2719,436,1963,245,6.69363736667893,24.8620816476646,35.7852151526296,11.0334681868334
"174",39049007511,376,105,17,395,43,267,1072,493,111,69,24.9067164179104,36.8470149253731,9.79477611940299,1.58582089552239
"175",39049007512,597,232,74,1132,381,500,2866,904,330,75,17.4459176552687,39.4975575715283,8.09490579204466,2.58199581297976
"176",39049007520,325,59,65,641,63,301,1520,630,397,109,19.8026315789474,42.1710526315789,3.88157894736842,4.27631578947368
"177",39049007531,519,244,88,512,268,420,1669,795,595,109,25.1647693229479,30.6770521270222,14.619532654284,5.27261833433194
"178",39049007532,828,251,47,756,55,341,1822,978,173,109,18.7156970362239,41.4928649835346,13.7760702524698,2.57958287596048
"179",39049007533,302,187,34,378,353,274,1215,579,350,201,22.5514403292181,31.1111111111111,15.3909465020576,2.79835390946502
"180",39049007534,786,96,34,930,317,824,2435,939,502,84,33.8398357289528,38.1930184804928,3.94250513347023,1.39630390143737
"181",39049007550,356,307,185,348,150,184,1847,484,532,128,9.96210070384407,18.8413643746616,16.6215484569572,10.0162425554954
"182",39049007552,1102,358,272,568,93,452,2454,1396,411,17,18.4189079054605,23.1458842705786,14.5884270578647,11.0839445802771
"183",39049007553,2175,836,458,1266,466,413,3715,2401,716,131,11.1170928667564,34.0780619111709,22.5033647375505,12.328398384926
"184",39049007710,359,260,121,1315,537,464,3069,1329,1643,863,15.1189312479635,42.8478331704138,8.47181492342783,3.9426523297491
"185",39049007721,1916,298,204,944,871,1521,3823,2622,1098,343,39.7855087627518,24.6926497515041,7.79492545121632,5.33612346324876
