GEOID,totalpopulation_1970,white_1970,black_1970,poverty_1970,pctpoverty_1970,pctwhite_1970,pctblack_1970
39049007427,2654.486,2632.887,10.07941,19.43887,24.77064477,99.18632082,0.379712306
39049007492,794.9528,759.8483,13.66118,10.7788,54.15342197,95.58407744,1.71848945
39049007494,242.6921,225.9102,8.606104,5.163662,70.58823369,93.0851066,3.54609977
39049007511,3821.642,1562.124,2152.478,89.27759,43.80735334,40.87572829,56.32338142
39049007512,4354.213,1779.816,2452.44,101.719,43.80733026,40.87572197,56.32338152
39049007520,3929.921,3708.406,124.6024,54.38995,40.1459916,94.3633727,3.170608264
39049007531,953.0811,923.8455,1.113738,14.20016,27.12766882,96.93251708,0.116856582
39049007532,401.335,389.0241,0.4689863,5.979576,27.12765784,96.93251274,0.116856566
39049007533,1023.88,992.4727,1.196471,15.255,27.12764879,96.93252139,0.116856565
39049007534,1044.704,1012.658,1.220805,15.56526,27.12765067,96.93252826,0.116856545
39049007550,1297.876,1040.477,230.3625,46.64981,40.56085501,80.16767395,17.74919176
39049007551,1430.246,1141.909,258.5886,52.17539,40.56938226,79.8400415,18.08000861
39049007710,5772.043,5662.989,0.000953147,59.0336,28.22433705,98.11065164,1.65132E-05
39049007721,4713.95,4588.062,2.198927,77.51218,21.20300341,97.32945831,0.046647228
39049007722,3859.007,3755.95,1.80012,63.45422,21.20300772,97.32944252,0.046647233
39049007730,4506,4348,0,25,19.08396947,96.49356414,0
39049007740,1751.674,1677.898,3.987874,0,0,95.7882574,0.227660741
39049007811,5471.57,5388.205,5.436296,37.14978,12.85336764,98.47639709,0.099355322
39049007812,2237.676,2172.664,0.03044319,7.668229,13.54616919,97.09466429,0.001360482
39049007820,4566.338,4248.006,83.10769,91.65395,11.10736303,93.02872455,1.820007411
39049007830,2479.852,2375.601,24.94398,81.24423,11.39507025,95.79607977,1.005865673
39049007921,1813.157,1732.348,0,14.59055,24.29905935,95.54318793,0
39049007922,1417.843,1354.652,0,11.40945,24.29907836,95.54315957,0
39049007931,1413.088,1351.106,19.84548,8.846779,49.77580915,95.61371974,1.404405104
39049007933,1923.26,1839.142,27.16587,12.1108,49.9989266,95.62628038,1.412490771
39049007941,299.1908,288.7582,0,4.471095,36.36364006,96.51306123,0
39049007951,1610.196,1504.497,0,0,0,93.43564386,0
39049007952,2357.68,2202.913,0,0,0,93.43562315,0
39049007953,256.0045,247.0778,0,3.825721,36.36364587,96.51306911,0
39049007954,247.7573,239.1182,0,3.702475,36.36362297,96.51307953,0
39049008000,1013,995,0,0,0,98.2230997,0
39049008110,5575,5499,0,58,14.79591837,98.6367713,0
39049008120,5647.678,5465.511,17,64.10579,21.84822343,96.77447971,0.301008662
39049008132,188.7889,179.9543,0,2.272799,31.79487818,95.32038165,0
39049008141,604.0315,575.7652,0,7.271835,31.79486339,95.32039306,0
39049008142,566.9275,540.3975,0,6.825147,31.79486905,95.32038929,0
39049008161,1278.019,1218.525,0.4635681,15.21487,31.78380644,95.34482664,0.036272395
39049008162,2471.373,2353.664,0.5096201,29.57099,31.60735045,95.237101,0.02062093
39049008163,64.91122,61.87363,0,0.7814555,31.79486647,95.32039299,0
39049008164,94.89004,90.44955,0,1.142366,31.7948835,95.32038347,0
39049008210,2747,2600,29,75,25.25252525,94.64870768,1.055697124
39049008230,1371.322,1341.489,0,18.89421,7.48031362,97.82450803,0
39049008241,1214.876,1200.663,0,20.96452,39.86486898,98.83008636,0
39049008242,1546.836,1528.739,0,26.69299,39.86486295,98.83006343,0
39049008311,4611,4465,78,51,20.56451613,96.83365864,1.691607027
39049008312,5847.644,5206.914,381.669,92.9453,23.38308308,89.04293763,6.526885016
39049008321,3370.849,3306.839,8.331027,47.5547,28.0393113,98.10107187,0.24714922
39049008322,5139.607,5021.708,4.99573,60.94791,16.48648846,97.70606974,0.097200623
39049008330,2831.036,2750.758,2.393989,30.40367,25.28546253,97.16435962,0.084562295
39049008340,3631.99,3588.051,0,38.94628,32.77310514,98.79022244,0
39049008350,992.9615,958.1514,17.32557,5.563254,30.70174257,96.49431524,1.744838043
39049008360,962.2971,928.562,16.79052,5.391451,30.70174759,96.49431553,1.744837431
39049008370,1516.432,1463.315,26.42531,8.506065,30.70651889,96.49723825,1.742597756
39049008380,2647.872,2555.046,46.20106,14.8352,30.70175166,96.49431695,1.744837364
39049008400,3996.101,3794.726,52.39803,101.1687,22.97172106,94.96071295,1.31122887
39049008500,6013.606,5725.187,153.3684,141.1889,23.89061906,95.20389264,2.550356641
39049008710,3482.769,2433.73,978.5807,45.99329,18.65079523,69.87916798,28.09777795
39049008720,5031.679,4773.315,107.5987,205.8662,44.48883253,94.86525273,2.138425365
39049008730,3167.844,2113.706,977.3867,12.54317,20.56358847,66.72380332,30.8533722
39049008811,4364.136,3240.969,924.2381,94.1688,60.63955357,74.26370306,21.17803157
39049008812,4782.156,2667.294,1941.613,39.45683,31.56470645,55.77597218,40.60120582
39049008813,3539.146,614.3527,2652.762,26.47285,38.66667076,17.35878373,74.95486199
39049008821,5569.147,5360.128,9.877403,72.38721,31.24282076,96.24683996,0.177359351
39049008822,2211.43,2171.139,0,37.22556,24.60562844,98.17805673,0
39049008825,4492.618,4270.583,0,42.35741,35.2272697,95.05778145,0
39049008900,5800.023,5628.003,50.01884,196.001,35.1885441,97.03414969,0.862390373
39049009000,3537,3412,13,165,42.63565891,96.46593158,0.367543116
39049009100,5552,5257,32,76,22.1574344,94.68659942,0.576368876
39049009210,3620.75,3403.962,100,29.52302,7.132375377,94.01262169,2.761858731
39049009220,3642.309,3609.95,0,65.63133,23.7668348,99.11158004,0
39049009230,6797.795,6609.724,0,53.87273,12.63797497,97.23335287,0
39049009240,2969.25,2899.038,0,18.47698,21.97802433,97.63536247,0
39049009250,2769.68,2755.822,0,55.4332,36.60131237,99.49965339,0
39049009311,4002.113,3841.082,0.001536083,10.00422,5.001082278,95.97635049,3.83818E-05
39049009312,3521,3483,0,5,4.95049505,98.92076115,0
39049009321,2802.144,2773.552,0,33.58096,35.41957602,98.97963845,0
39049009322,5243.274,5113.116,44.0298,33.49075,22.11496619,97.51761972,0.839738682
39049009323,1623.074,1612.401,0,12.9602,11.80555745,99.34242062,0
39049009325,2992.126,2957.651,0,25.12313,9.759397883,98.84780922,0
39049009326,80.26917,76.41184,0,0.9184116,5.154640633,95.19450618,0
39049009331,1756.594,1704.785,5.865087,31.28046,12.74900441,97.05059906,0.333889732
39049009332,4255,3539,606,27,27.55102041,83.17273796,14.24206816
39049009333,2700,2647,4,23,20.53571429,98.03703704,0.148148148
39049009334,4229,4109,78,12,35.29411765,97.16244975,1.844407661
39049009336,1287.006,1271.938,0,4.777578,7.692308188,98.82922069,0
39049009337,2214.525,2188.598,0,8.220679,7.692309636,98.82922974,0
39049009340,3442.859,3334.217,85.30782,25.67778,7.293199469,96.84442494,2.477819161
39049009350,2066.591,1961.226,36.66467,5.319522,1.949545481,94.90150688,1.774161893
39049009361,2901.119,2821.183,3.992317,11.01104,10.30118532,97.24464939,0.137613004
39049009362,3774.115,3735.127,0.003865437,13.97846,33.27658075,98.96696312,0.00010242
39049009371,1872.73,1819.86,32.01247,8.973192,16.66666419,97.17684877,1.709401248
39049009372,1337.357,1299.602,22.8608,6.407953,16.6666658,97.17689443,1.709401454
39049009373,1981.055,1921.814,27.64719,10.24555,20.71332079,97.00962366,1.395579123
39049009374,3474.02,3375.113,57.7798,16.89577,17.21332135,97.15295249,1.663197103
39049009381,1563,1540,0,18,23.07692308,98.52847089,0
39049009382,3325,3126,0,42,48.8372093,94.01503759,0
39049009383,2891,2767,0,6,10,95.7108267,0
39049009384,3217,3185,0,20,27.02702703,99.00528443,0
