"","GEOID","totalpopulation_1970","white_1970","black_1970","poverty_1970","pctpoverty_1970","pctwhite_1970","pctblack_1970","totalpopulation_1980","white_1980","black_1980","poverty_1980","pctpoverty_1980","pctblack_1980","pctwhite_1980","totalpopulation_1990","white_1990","black_1990","poverty_1990","pctpoverty_1990","pctwhite_1990","pctblack_1990"
"83",39049006321,5507.951,5279.397,6.451655,72.01598,23.32975906,95.85047144,0.117133486,4938.474715,4804.647353,11.27994833,165.7586356,3.417937541,0.228409559,97.29010738,4459.85274,4256.830973,24.20941202,31.33523881,0.709997921,95.44779214,0.542829852
"84",39049006323,3073.707,2947.596,3.590636,39.84537,23.15422798,95.89710405,0.116817771,3665.159222,3586.450731,20.65242534,92.78351438,2.531791545,0.563479622,97.85252191,3376.355665,3264.841624,12.70183136,15.21987702,0.452272827,96.69720691,0.376199448
"85",39049006330,6130,6077,0,59,25.76419214,99.13539967,0,4970.000002,4883.000002,3.000000001,185.0000001,3.72983871,0.060362173,98.24949698,4851.000002,4746.000002,11.00000001,119.0000001,2.458677686,97.83549784,0.22675737
"86",39049006340,944,931,0,16,22.85714286,98.62288136,0,2640.000001,2549.000001,13,85.00000002,3.21969697,0.492424242,96.5530303,3241.000001,3024.000001,14,66.00000002,2.006688963,93.30453564,0.431965443
"87",39049006351,467.5508,462.7041,2.154116,8.077934,17.48251464,98.96338537,0.460723412,3386.000008,3278.000008,37.00000009,62.00000015,1.841401841,1.09273479,96.81039575,4056.00001,3797.000009,107.0000003,105.0000003,2.633559067,93.61439842,2.638067061
"88",39049006352,166.881,165.1511,0.7688597,2.883224,17.48251884,98.96339308,0.46072333,2571.000021,2461.00002,60.00000049,282.0000023,10.96849475,2.333722287,95.72150914,2581.000021,2310.000019,66.00000054,354.0000029,14.27995159,89.50019372,2.557148392
"89",39049006353,424.9301,417.9149,1.672261,6.997579,18.20393747,98.34909318,0.393537902,3126.629898,2997.616772,39.16536661,188.5090617,6.041416334,1.252638396,95.8737321,4312.409651,3963.34517,108.3605225,279.4506414,6.481211606,91.90558158,2.512760411
"90",39049006371,795.7533,787.5043,3.666221,13.74833,17.48251917,98.96337219,0.460723317,2159.55379,2068.278337,36.09080836,98.75486397,4.690945979,1.671215995,95.77341148,6166.271189,5586.119875,109.655291,185.4870938,3.049909086,90.59153749,1.778307954
"91",39049006372,489.7787,484.7016,2.256525,8.461969,17.48251845,98.96338898,0.460723384,1334.00317,1277.669712,22.23833278,60.9363322,4.686235228,1.667037476,95.77711212,3813.600204,3454.768446,67.79316319,114.5579287,3.045565006,90.59073476,1.777668333
"92",39049006383,1602.786,1554.167,2.746848,15.65704,54.80771318,96.96659442,0.171379585,2822.459499,2746.535097,14.86350718,45.79567078,1.622313932,0.526615428,97.30999146,12619.95307,11428.81222,303.9251128,251.735952,2.003126832,90.56144789,2.408290357
"93",39049006384,427.3778,414.4137,0.7324384,4.174899,54.80769647,96.9665949,0.171379608,752.5998342,732.3548344,3.963306841,12.21126973,1.622313932,0.526615428,97.30999146,3365.070184,3047.456281,81.04066075,67.12458769,2.003126832,90.56144789,2.408290357
"94",39049006386,715.4986,693.7946,1.226219,6.989447,54.8076718,96.96659085,0.17137965,1259.972095,1226.078738,6.635207448,20.44361214,1.622313932,0.526615428,97.30999146,4151.690079,3794.304464,77.28658443,77.28658443,1.874685455,91.3918041,1.861569215
"95",39049006387,663.9037,643.7648,1.137796,6.485435,54.80771262,96.9665932,0.171379674,1169.114995,1137.665702,6.156739941,18.96941495,1.622313932,0.526615428,97.30999146,3852.310156,3520.695751,71.71341994,71.71341994,1.874685455,91.3918041,1.861569215
"96",39049006391,1133.998,1099.599,1.943441,11.07761,54.80769136,96.96657313,0.171379579,4154.000048,4079.000047,6.000000069,67.00000077,1.586925628,0.144439095,98.19451131,4226.780975,4052.827112,40.12235429,61.04244999,1.367235143,95.88448364,0.949241386
"97",39049006392,711.1573,689.5849,1.218779,6.947038,54.80768108,96.96657828,0.171379665,2752.000017,2631.000016,38.00000023,81.00000049,2.98562477,1.380813953,95.60319767,4706.219101,4325.172959,48.87764644,16.95755081,0.363947763,91.90334888,1.038575668
"98",39049006393,381.7267,370.1474,0.6542018,3.72895,54.80768623,96.9665994,0.171379628,672.2095839,654.1270887,3.53995938,10.90690187,1.622313932,0.526615428,97.30999146,3005.624645,2721.937197,72.38416849,59.9545638,2.003126832,90.56144789,2.408290357
"99",39049006394,198.5521,192.5292,0.3402778,1.939584,54.80770943,96.96658963,0.171379603,349.6444106,340.2389461,1.841281411,5.67313732,1.622313932,0.526615428,97.30999146,1563.351494,1415.793749,37.65004329,31.18488434,2.003126832,90.56144789,2.408290357
"100",39049006395,1054.672,1043.739,4.859118,18.22169,17.48251191,98.9633744,0.460723144,1418.971511,1344.209039,40.41214699,84.86550868,5.985037406,2.847988608,94.73122108,2685.387168,2441.903982,55.06155027,128.3085667,4.931081343,90.93303236,2.050413845
"101",39049006396,1024.569,1013.948,4.72043,17.70161,17.48251907,98.96336899,0.460723485,1378.471526,1305.842909,39.25871203,82.44329527,5.985037406,2.847988608,94.73122108,2608.741415,2372.207675,53.48999515,124.6464107,4.931081343,90.93303236,2.050413845
"102",39049006410,2859,2730,0,11,6.962025316,95.48793284,0,2724.999985,2668.999986,11.99999994,46.99999975,1.732399558,0.440366972,97.94495413,2678.999986,2577.999986,16.99999991,45.99999975,1.708132195,96.22993654,0.634565136
"103",39049006430,5528,5389,0,63,15.94936709,97.48552822,0,4468.99995,4421.999951,7.999999911,80.9999991,1.821452665,0.179010964,98.94831058,4311.999952,4180.999954,5.999999933,79.99999911,1.860032551,96.9619666,0.139146568
"104",39049006500,3907,3852,0,42,15.90909091,98.59227028,0,3463.999997,3454.999997,1.999999998,66.99999995,1.934180139,0.057736721,99.74018476,3426.999997,3349.999997,2.999999998,49.99999996,1.459002043,97.75313685,0.087540123
"105",39049006600,5147.572,5009.935,6.324696,57.73589,10.15255234,97.3261763,0.122867558,4287.110627,4248.582446,13.35964071,111.2106891,2.688135367,0.311623419,99.10130192,3985.579983,3911.835956,6.433628864,48.36052302,1.269815384,98.14972909,0.161422651
"106",39049006710,4066.315,3847.546,141.5018,61.44157,26.61289792,94.61996919,3.479853381,2554.480005,2405.530734,125.6759478,92.16236171,3.771428571,4.919825073,94.16909621,2658.744495,2462.317644,144.2946067,171.2916622,6.652205351,92.61204482,5.427170868
